# ID,Age,Gender,HHtype,HH_ID
0,18,0,1,383
1,18,0,1,53
2,19,0,1,104
3,16,0,1,19
4,18,0,1,335
5,19,0,1,110
6,18,0,1,62
7,15,0,1,312
8,15,0,1,27
9,19,0,1,72
10,15,0,1,362
11,18,0,1,257
12,16,0,1,395
13,19,0,1,109
14,17,0,1,326
15,15,1,1,376
16,19,1,1,147
17,19,1,1,148
18,17,1,1,120
19,16,1,1,321
20,15,1,1,259
21,19,1,1,16
22,15,1,1,226
23,18,1,1,302
24,19,1,1,330
25,18,1,1,97
26,19,1,1,227
27,16,1,1,241
28,16,1,1,114
29,18,1,1,166
30,15,1,1,388
31,20,0,1,288
32,21,0,1,41
33,22,0,1,178
34,21,0,1,379
35,22,0,1,26
36,23,0,1,238
37,23,1,1,91
38,23,1,1,260
39,23,1,1,39
40,22,1,1,149
41,20,1,1,280
42,22,1,1,323
43,24,1,1,318
44,22,1,1,283
45,29,0,1,34
46,27,0,1,334
47,25,0,1,38
48,25,0,1,391
49,28,0,1,245
50,29,0,1,179
51,28,0,1,277
52,27,0,1,44
53,27,0,1,35
54,25,0,1,40
55,25,0,1,403
56,26,1,1,173
57,28,1,1,81
58,26,1,1,113
59,27,1,1,320
60,27,1,1,96
61,27,1,1,290
62,26,1,1,170
63,27,1,1,354
64,28,1,1,294
65,28,1,1,92
66,28,1,1,236
67,29,1,1,1
68,27,1,1,284
69,29,1,1,83
70,29,1,1,45
71,28,1,1,208
72,32,0,1,380
73,33,0,1,307
74,32,0,1,103
75,31,0,1,24
76,30,0,1,150
77,33,0,1,300
78,32,0,1,175
79,33,0,1,237
80,30,0,1,347
81,30,0,1,350
82,32,0,1,137
83,33,0,1,377
84,31,0,1,5
85,33,1,1,215
86,34,1,1,316
87,31,1,1,105
88,31,1,1,167
89,30,1,1,232
90,31,1,1,168
91,31,1,1,124
92,30,1,1,90
93,34,1,1,182
94,31,1,1,102
95,33,1,1,205
96,30,1,1,371
97,31,1,1,57
98,34,1,1,161
99,31,1,1,111
100,31,1,1,368
101,33,1,1,9
102,33,1,1,324
103,31,1,1,48
104,33,1,1,49
105,34,1,1,304
106,34,1,1,146
107,33,1,1,119
108,33,1,1,250
109,33,1,1,66
110,30,1,1,291
111,31,1,1,211
112,35,0,1,314
113,37,0,1,198
114,37,0,1,190
115,38,0,1,139
116,36,0,1,58
117,35,0,1,141
118,36,0,1,86
119,37,0,1,348
120,39,0,1,329
121,35,0,1,243
122,39,0,1,370
123,36,1,1,152
124,35,1,1,169
125,35,1,1,188
126,39,1,1,31
127,35,1,1,258
128,36,1,1,293
129,37,1,1,28
130,37,1,1,361
131,35,1,1,270
132,39,1,1,296
133,39,1,1,17
134,39,1,1,30
135,35,1,1,404
136,37,1,1,272
137,37,1,1,101
138,38,1,1,23
139,40,0,1,12
140,43,0,1,338
141,42,0,1,369
142,42,0,1,309
143,44,0,1,3
144,42,0,1,172
145,42,1,1,298
146,43,1,1,200
147,41,1,1,287
148,44,1,1,79
149,43,1,1,271
