# ID,Age,Gender,HHtype,HH_ID
0,17,0,1,66
1,15,0,1,48
2,15,0,1,19
3,18,1,1,3
4,16,1,1,69
5,24,0,1,114
6,22,0,1,87
7,22,0,1,101
8,22,0,1,110
9,29,0,1,9
10,25,0,1,56
11,25,0,1,109
12,26,0,1,22
13,25,0,1,90
14,28,1,1,42
15,26,1,1,40
16,26,1,1,71
17,28,1,1,8
18,32,0,1,126
19,31,0,1,30
20,30,0,1,54
21,34,1,1,21
22,33,1,1,128
23,30,1,1,122
24,31,1,1,95
25,31,1,1,133
26,34,1,1,119
27,32,1,1,125
28,35,1,1,82
29,36,1,1,7
30,35,1,1,27
31,35,1,1,112
32,36,1,1,80
33,35,1,1,120
34,37,1,1,1
35,37,1,1,36
36,37,1,1,105
37,35,1,1,124
38,42,0,1,75
39,41,0,1,107
40,41,0,1,78
41,41,0,1,94
42,43,0,1,55
43,40,0,1,58
44,44,0,1,121
45,40,0,1,20
46,43,0,1,103
47,44,0,1,14
48,42,0,1,10
49,42,1,1,46
50,41,1,1,28
51,43,1,1,76
52,41,1,1,43
53,44,1,1,61
54,40,1,1,16
55,44,1,1,52
56,43,1,1,2
57,40,1,1,65
58,43,1,1,123
59,42,1,1,17
60,47,0,1,57
61,45,0,1,111
62,48,0,1,41
63,46,0,1,129
64,45,0,1,97
65,49,0,1,73
66,46,0,1,60
67,46,0,1,49
68,48,0,1,4
69,49,0,1,31
70,49,0,1,99
71,49,0,1,45
72,45,1,1,39
73,47,1,1,85
74,47,1,1,117
75,47,1,1,67
76,47,1,1,130
77,49,1,1,70
78,54,1,1,62
79,51,1,1,37
80,54,1,1,131
81,54,1,1,89
82,50,1,1,32
83,50,1,1,26
84,54,1,1,5
85,57,0,1,100
86,58,0,1,38
87,55,1,1,92
88,56,1,1,98
89,55,1,1,34
90,55,1,1,53
91,55,1,1,0
92,56,1,1,102
93,56,1,1,88
94,56,1,1,72
95,55,1,1,132
96,59,1,1,35
97,57,1,1,50
98,57,1,1,33
99,60,0,1,11
100,63,0,1,83
101,61,0,1,96
102,63,0,1,116
103,62,1,1,106
104,64,1,1,74
105,60,1,1,91
106,60,1,1,13
107,63,1,1,81
108,63,1,1,47
109,68,1,1,15
110,68,1,1,44
111,67,1,1,29
112,66,1,1,113
113,67,1,1,51
114,68,1,1,127
115,74,0,1,68
116,74,0,1,12
117,72,1,1,25
118,71,1,1,77
119,70,1,1,115
120,71,1,1,84
121,76,0,1,93
122,77,0,1,104
123,75,0,1,24
124,77,1,1,118
125,75,1,1,23
126,79,1,1,18
127,80,0,1,64
128,84,0,1,6
129,81,0,1,79
130,85,0,1,86
131,87,0,1,108
132,89,1,1,59
133,89,1,1,63
134,3,0,2,192
135,0,0,2,154
136,2,1,2,140
137,0,1,2,166
138,6,0,2,160
139,7,0,2,186
140,7,0,2,198
141,6,0,2,153
142,7,0,2,188
143,5,0,2,156
144,7,0,2,185
145,7,0,2,138
146,6,1,2,168
147,7,1,2,196
148,5,1,2,161
149,7,1,2,162
150,8,1,2,165
151,8,1,2,163
152,11,0,2,148
153,10,0,2,193
154,14,0,2,179
155,11,0,2,169
156,14,0,2,167
157,11,1,2,194
158,14,1,2,175
159,12,1,2,193
160,12,1,2,149
161,12,1,2,159
162,18,0,2,148
163,15,0,2,190
164,15,1,2,194
165,15,1,2,176
166,17,1,2,160
167,23,0,2,199
168,23,0,2,181
169,22,1,2,196
170,21,1,2,170
171,24,1,2,134
172,23,1,2,137
173,23,1,2,166
174,20,1,2,187
175,23,1,2,152
176,24,1,2,157
177,29,0,2,142
178,25,0,2,155
179,28,0,2,180
180,28,0,2,172
181,26,1,2,184
182,26,1,2,149
183,27,1,2,173
184,29,1,2,143
185,28,1,2,147
186,26,1,2,154
187,28,1,2,151
188,31,0,2,143
189,34,0,2,174
190,33,0,2,171
191,30,0,2,150
192,33,0,2,197
193,32,0,2,145
194,34,0,2,146
195,33,1,2,163
196,31,1,2,156
197,34,1,2,180
198,31,1,2,142
199,32,1,2,145
200,38,0,2,157
201,39,0,2,158
202,37,0,2,153
203,37,0,2,152
204,38,0,2,183
205,37,0,2,135
206,35,0,2,183
207,35,1,2,190
208,37,1,2,170
209,39,1,2,198
210,35,1,2,175
211,38,1,2,191
212,37,1,2,195
213,35,1,2,159
214,36,1,2,134
215,42,0,2,185
216,41,0,2,137
217,42,0,2,199
218,41,1,2,174
219,43,1,2,178
220,44,1,2,141
221,40,1,2,189
222,40,1,2,169
223,40,1,2,141
224,49,0,2,139
225,47,0,2,177
226,47,0,2,195
227,54,1,2,150
228,51,1,2,144
229,52,1,2,168
230,62,0,2,171
231,60,0,2,192
232,61,0,2,167
233,63,0,2,164
234,64,0,2,191
235,63,0,2,151
236,60,1,2,176
237,61,1,2,165
238,62,1,2,187
239,62,1,2,186
240,60,1,2,177
241,62,1,2,164
242,64,1,2,135
243,62,1,2,182
244,66,0,2,181
245,68,0,2,139
246,66,0,2,144
247,69,0,2,161
248,65,1,2,197
249,69,1,2,140
250,74,0,2,179
251,72,0,2,184
252,74,1,2,136
253,72,1,2,158
254,71,1,2,147
255,76,0,2,173
256,76,0,2,182
257,77,1,2,155
258,77,1,2,178
259,83,0,2,136
260,83,1,2,162
261,89,0,2,189
262,85,0,2,146
263,89,1,2,188
264,89,1,2,138
265,89,1,2,172
266,1,0,3,211
267,0,0,3,207
268,0,0,3,234
269,3,0,3,213
270,1,1,3,216
271,4,1,3,204
272,3,1,3,201
273,2,1,3,224
274,2,1,3,200
275,3,1,3,212
276,2,1,3,222
277,7,0,3,203
278,7,0,3,219
279,6,0,3,228
280,7,0,3,233
281,9,1,3,215
282,9,1,3,220
283,5,1,3,207
284,9,1,3,218
285,6,1,3,202
286,13,0,3,200
287,12,0,3,220
288,11,1,3,225
289,12,1,3,221
290,11,1,3,229
291,10,1,3,213
292,15,1,3,226
293,19,1,3,223
294,18,1,3,215
295,16,1,3,205
296,22,0,3,232
297,29,0,3,224
298,29,1,3,219
299,25,1,3,221
300,32,0,3,205
301,31,0,3,215
302,39,0,3,202
303,36,0,3,232
304,35,0,3,206
305,37,1,3,229
306,35,1,3,225
307,37,1,3,226
308,39,1,3,208
309,38,1,3,228
310,37,1,3,211
311,40,0,3,224
312,40,0,3,209
313,42,0,3,223
314,42,0,3,233
315,41,0,3,226
316,41,0,3,210
317,41,1,3,217
318,41,1,3,214
319,47,1,3,230
320,49,1,3,214
321,47,1,3,230
322,50,0,3,227
323,53,0,3,231
324,50,0,3,203
325,54,0,3,208
326,51,0,3,227
327,59,0,3,225
328,57,0,3,232
329,57,0,3,208
330,57,1,3,204
331,58,1,3,214
332,57,1,3,216
333,63,0,3,201
334,64,0,3,207
335,60,0,3,218
336,64,0,3,212
337,61,0,3,213
338,61,0,3,210
339,61,0,3,234
340,62,0,3,209
341,64,1,3,206
342,60,1,3,231
343,61,1,3,231
344,69,0,3,210
345,66,0,3,230
346,65,1,3,217
347,65,1,3,217
348,66,1,3,218
349,67,1,3,223
350,69,1,3,202
351,72,0,3,211
352,72,0,3,221
353,72,1,3,219
354,73,1,3,229
355,78,0,3,234
356,77,0,3,201
357,77,0,3,228
358,78,1,3,200
359,75,1,3,233
360,79,1,3,206
361,79,1,3,204
362,75,1,3,205
363,81,0,3,212
364,84,1,3,203
365,83,1,3,227
366,82,1,3,222
367,87,0,3,209
368,86,0,3,220
369,85,1,3,222
370,85,1,3,216
371,1,0,4,235
372,1,0,4,248
373,2,0,4,254
374,0,0,4,244
375,0,1,4,251
376,0,1,4,239
377,0,1,4,242
378,5,0,4,241
379,8,0,4,247
380,9,0,4,255
381,6,1,4,240
382,5,1,4,244
383,7,1,4,253
384,13,0,4,235
385,10,0,4,250
386,13,0,4,258
387,12,0,4,236
388,14,1,4,251
389,14,1,4,253
390,14,1,4,249
391,14,1,4,240
392,13,1,4,255
393,13,1,4,244
394,11,1,4,243
395,15,0,4,260
396,23,0,4,239
397,24,1,4,240
398,23,1,4,254
399,24,1,4,259
400,29,0,4,246
401,28,0,4,236
402,34,0,4,248
403,34,0,4,260
404,32,1,4,235
405,32,1,4,255
406,32,1,4,247
407,31,1,4,237
408,38,0,4,251
409,39,0,4,256
410,38,0,4,257
411,38,1,4,238
412,36,1,4,241
413,38,1,4,243
414,42,0,4,262
415,44,0,4,261
416,43,1,4,258
417,41,1,4,235
418,44,1,4,258
419,47,0,4,247
420,49,0,4,261
421,48,0,4,248
422,46,0,4,252
423,45,0,4,236
424,49,0,4,246
425,49,1,4,255
426,45,1,4,242
427,49,1,4,257
428,45,1,4,248
429,48,1,4,250
430,48,1,4,262
431,46,1,4,257
432,46,1,4,241
433,45,1,4,238
434,51,0,4,240
435,53,0,4,245
436,51,0,4,259
437,52,0,4,259
438,52,0,4,261
439,53,0,4,250
440,50,0,4,260
441,54,0,4,238
442,54,0,4,246
443,50,1,4,245
444,51,1,4,253
445,50,1,4,244
446,54,1,4,252
447,57,0,4,236
448,58,0,4,262
449,55,1,4,243
450,59,1,4,241
451,65,0,4,260
452,66,0,4,252
453,69,0,4,249
454,67,1,4,249
455,65,1,4,242
456,68,1,4,256
