# ID,Age,Gender,HHtype,HH_ID
0,17,0,1,340
1,19,0,1,148
2,17,0,1,44
3,19,0,1,413
4,16,0,1,275
5,19,0,1,66
6,15,0,1,241
7,17,0,1,327
8,19,0,1,139
9,17,0,1,353
10,17,0,1,62
11,18,0,1,144
12,19,0,1,42
13,19,0,1,57
14,16,0,1,147
15,18,0,1,27
16,16,0,1,43
17,15,0,1,262
18,15,0,1,398
19,17,0,1,162
20,19,0,1,212
21,17,0,1,173
22,18,0,1,149
23,15,0,1,221
24,15,0,1,261
25,18,0,1,124
26,17,0,1,64
27,17,0,1,0
28,16,1,1,111
29,17,1,1,45
30,18,1,1,250
31,17,1,1,276
32,15,1,1,30
33,15,1,1,23
34,19,1,1,165
35,15,1,1,306
36,17,1,1,265
37,18,1,1,252
38,19,1,1,181
39,19,1,1,155
40,19,1,1,334
41,16,1,1,225
42,19,1,1,279
43,19,1,1,283
44,19,1,1,49
45,15,1,1,296
46,16,1,1,406
47,21,0,1,209
48,23,0,1,117
49,21,0,1,102
50,21,0,1,105
51,22,0,1,97
52,23,0,1,383
53,21,0,1,198
54,23,0,1,73
55,21,0,1,374
56,21,0,1,58
57,21,0,1,320
58,23,0,1,314
59,20,0,1,75
60,22,0,1,321
61,21,0,1,396
62,23,0,1,79
63,24,0,1,362
64,21,0,1,297
65,24,0,1,287
66,24,1,1,179
67,24,1,1,323
68,21,1,1,403
69,21,1,1,118
70,20,1,1,270
71,24,1,1,215
72,23,1,1,203
73,23,1,1,392
74,21,1,1,11
75,24,1,1,311
76,23,1,1,46
77,21,1,1,52
78,22,1,1,364
79,22,1,1,268
80,20,1,1,32
81,20,1,1,121
82,26,0,1,273
83,26,0,1,205
84,26,0,1,72
85,26,0,1,19
86,25,0,1,29
87,25,0,1,140
88,28,0,1,309
89,28,0,1,136
90,29,0,1,82
91,29,0,1,277
92,25,0,1,128
93,25,0,1,13
94,29,0,1,313
95,26,0,1,393
96,29,0,1,384
97,25,0,1,183
98,25,0,1,342
99,25,0,1,230
100,25,0,1,240
101,28,0,1,175
102,28,1,1,330
103,25,1,1,204
104,25,1,1,218
105,26,1,1,302
106,26,1,1,357
107,25,1,1,1
108,28,1,1,390
109,25,1,1,168
110,29,1,1,24
111,29,1,1,81
112,27,1,1,192
113,29,1,1,39
114,25,1,1,386
115,27,1,1,48
116,29,1,1,399
117,26,1,1,129
118,30,0,1,36
119,33,0,1,59
120,30,0,1,242
121,32,0,1,292
122,30,0,1,10
123,30,0,1,249
124,34,0,1,236
125,33,0,1,54
126,32,0,1,370
127,30,0,1,115
128,34,0,1,216
129,34,0,1,125
130,31,1,1,174
