# ID,Age,Gender,HHtype,HH_ID
0,19,0,1,23
1,17,0,1,14
2,15,0,1,28
3,16,1,1,65
4,16,1,1,27
5,18,1,1,73
6,20,0,1,95
7,22,0,1,16
8,22,0,1,104
9,21,0,1,63
10,22,1,1,87
11,20,1,1,45
12,22,1,1,37
13,28,0,1,106
14,28,0,1,117
15,29,0,1,107
16,25,1,1,110
17,29,1,1,8
18,29,1,1,56
19,28,1,1,20
20,25,1,1,92
21,25,1,1,80
22,30,0,1,9
23,30,0,1,64
24,32,0,1,85
25,33,0,1,5
26,33,1,1,119
27,34,1,1,71
28,33,1,1,19
29,34,1,1,100
30,34,1,1,57
31,34,1,1,97
32,32,1,1,11
33,34,1,1,75
34,37,0,1,101
35,35,0,1,51
36,38,0,1,120
37,35,0,1,88
38,35,0,1,89
39,39,0,1,26
40,36,0,1,50
41,37,1,1,54
42,37,1,1,103
43,37,1,1,60
44,43,0,1,10
45,41,0,1,98
46,41,0,1,113
47,42,1,1,67
48,41,1,1,94
49,42,1,1,112
50,42,1,1,83
51,47,1,1,25
52,49,1,1,72
53,45,1,1,76
54,50,0,1,43
55,54,0,1,109
56,51,0,1,82
57,51,1,1,105
58,54,1,1,44
59,51,1,1,40
60,52,1,1,111
61,53,1,1,32
62,52,1,1,79
63,52,1,1,115
64,52,1,1,17
65,53,1,1,96
66,54,1,1,48
67,57,1,1,6
68,55,1,1,0
69,58,1,1,41
70,62,0,1,21
71,60,0,1,52
72,64,0,1,30
73,62,0,1,38
74,64,0,1,29
75,63,0,1,90
76,62,0,1,114
77,63,1,1,7
78,61,1,1,36
79,64,1,1,24
80,64,1,1,62
81,60,1,1,99
82,65,0,1,34
83,69,0,1,81
84,67,1,1,31
85,68,1,1,42
86,69,1,1,18
87,68,1,1,39
88,68,1,1,4
89,74,1,1,59
90,74,1,1,58
91,74,1,1,116
92,79,0,1,46
93,79,0,1,91
94,76,0,1,53
95,77,0,1,3
96,77,0,1,86
97,77,0,1,84
98,76,0,1,33
99,79,0,1,69
100,79,0,1,68
101,75,0,1,66
102,76,1,1,15
103,76,1,1,13
104,79,1,1,35
105,75,1,1,55
106,79,1,1,49
107,76,1,1,12
108,77,1,1,77
109,80,0,1,93
110,80,0,1,2
111,83,0,1,70
112,81,0,1,118
113,80,1,1,108
114,83,1,1,78
115,81,1,1,74
116,84,1,1,1
117,83,1,1,102
118,84,1,1,61
119,80,1,1,22
120,86,1,1,47
121,0,0,2,130
122,0,0,2,169
123,3,0,2,129
124,1,0,2,138
125,4,0,2,162
126,2,1,2,152
127,3,1,2,136
128,8,0,2,141
129,9,0,2,127
130,6,0,2,181
131,6,0,2,180
132,8,0,2,132
133,8,1,2,182
134,5,1,2,149
135,7,1,2,127
136,7,1,2,174
137,13,0,2,150
138,10,0,2,184
139,10,0,2,178
140,11,0,2,149
141,12,1,2,175
142,19,1,2,121
143,16,1,2,131
144,21,0,2,165
145,21,1,2,153
146,21,1,2,173
147,20,1,2,125
148,20,1,2,164
149,25,0,2,159
150,27,0,2,184
151,28,0,2,180
152,29,0,2,151
153,25,0,2,168
154,29,1,2,148
155,28,1,2,123
156,27,1,2,124
157,34,0,2,139
158,34,0,2,146
159,31,0,2,158
160,30,1,2,154
161,30,1,2,145
162,30,1,2,142
163,32,1,2,165
164,31,1,2,163
165,36,0,2,170
166,38,0,2,148
167,36,1,2,179
168,37,1,2,153
169,37,1,2,171
170,39,1,2,140
171,43,0,2,125
172,40,0,2,146
173,41,0,2,155
174,43,0,2,156
175,44,0,2,131
176,40,0,2,185
177,41,0,2,142
178,44,0,2,140
179,41,1,2,186
180,43,1,2,172
181,48,0,2,176
182,45,0,2,130
183,49,0,2,123
184,48,0,2,170
185,47,0,2,173
186,49,0,2,144
187,47,1,2,167
188,49,1,2,156
189,49,1,2,166
190,46,1,2,134
191,47,1,2,177
192,54,0,2,154
193,52,0,2,135
194,54,0,2,157
195,53,0,2,143
196,53,0,2,172
197,53,0,2,164
198,51,1,2,147
199,53,1,2,137
200,53,1,2,178
201,55,0,2,135
202,55,0,2,161
203,59,0,2,129
204,58,0,2,162
205,57,0,2,151
206,58,0,2,168
207,55,0,2,139
208,59,0,2,174
209,57,0,2,128
210,58,0,2,138
211,57,0,2,132
212,58,0,2,163
213,56,0,2,179
214,56,0,2,183
215,59,0,2,150
216,57,1,2,161
217,56,1,2,183
218,55,1,2,155
219,59,1,2,169
220,56,1,2,128
221,59,1,2,187
222,55,1,2,136
223,61,0,2,141
224,60,0,2,152
225,66,0,2,143
226,66,1,2,145
227,67,1,2,175
228,69,1,2,182
229,68,1,2,176
230,71,0,2,167
231,73,0,2,122
232,72,0,2,124
233,70,0,2,134
234,74,0,2,157
235,74,0,2,137
236,71,0,2,185
237,72,1,2,144
238,70,1,2,126
239,78,0,2,122
240,77,0,2,147
241,75,1,2,159
242,77,1,2,181
243,80,0,2,126
244,81,0,2,121
245,84,1,2,171
246,81,1,2,133
247,83,1,2,158
248,82,1,2,186
249,84,1,2,160
250,84,1,2,177
251,87,0,2,166
252,86,1,2,133
253,88,1,2,187
254,86,1,2,160
255,86,1,2,0
256,3,0,3,188
257,3,0,3,194
258,0,0,3,210
259,0,1,3,197
260,1,1,3,191
261,6,0,3,202
262,5,0,3,201
263,7,0,3,202
264,9,1,3,196
265,9,1,3,194
266,14,0,3,198
267,10,0,3,192
268,13,1,3,210
269,14,1,3,188
270,15,0,3,200
271,15,0,3,212
272,21,0,3,200
273,22,0,3,213
274,24,0,3,195
275,22,1,3,191
276,24,1,3,192
277,21,1,3,189
278,29,0,3,206
279,25,0,3,193
280,26,0,3,202
281,33,0,3,207
282,33,0,3,204
283,31,0,3,191
284,31,0,3,205
285,33,0,3,211
286,34,0,3,190
287,34,1,3,205
288,34,1,3,192
289,32,1,3,193
290,32,1,3,189
291,32,1,3,206
292,30,1,3,190
293,37,0,3,213
294,35,0,3,215
295,39,0,3,200
296,37,0,3,194
297,37,0,3,195
298,39,1,3,216
299,35,1,3,199
300,40,0,3,203
301,43,0,3,215
302,44,0,3,208
303,40,0,3,206
304,47,1,3,214
305,46,1,3,189
306,46,1,3,214
307,51,0,3,204
308,51,0,3,213
309,51,1,3,209
310,52,1,3,201
311,53,1,3,209
312,53,1,3,195
313,52,1,3,207
314,58,1,3,207
315,55,1,3,216
316,62,0,3,216
317,62,0,3,217
318,61,0,3,197
319,60,0,3,204
320,63,1,3,199
321,64,1,3,212
322,60,1,3,209
323,62,1,3,196
324,62,1,3,214
325,62,1,3,193
326,62,1,3,205
327,69,0,3,201
328,67,0,3,203
329,68,1,3,215
330,69,1,3,198
331,70,1,3,210
332,70,1,3,217
333,74,1,3,208
334,76,1,3,212
335,75,1,3,188
