# ID,Age,Gender,HHtype,HH_ID
0,15,0,1,13
1,16,0,1,48
2,15,0,1,28
3,18,1,1,18
4,16,1,1,21
5,16,1,1,16
6,19,1,1,0
7,23,0,1,41
8,20,0,1,44
9,22,1,1,25
10,24,1,1,33
11,27,0,1,36
12,26,1,1,42
13,32,0,1,10
14,32,0,1,2
15,34,1,1,46
16,37,0,1,1
17,39,0,1,27
18,39,1,1,29
19,37,1,1,39
20,43,0,1,49
21,43,0,1,7
22,41,0,1,20
23,42,1,1,12
24,48,0,1,47
25,47,0,1,43
26,46,0,1,17
27,46,1,1,22
28,45,1,1,24
29,49,1,1,6
30,53,0,1,35
31,52,0,1,9
32,54,0,1,38
33,50,1,1,40
34,54,1,1,23
35,50,1,1,19
36,54,1,1,26
37,56,0,1,14
38,56,0,1,31
39,59,1,1,3
40,58,1,1,45
41,61,0,1,4
42,64,1,1,5
43,68,0,1,50
44,68,1,1,11
45,70,0,1,15
46,72,1,1,8
47,76,1,1,30
48,81,0,1,37
49,80,1,1,32
50,89,0,1,34
51,1,0,2,129
52,0,1,2,101
53,3,1,2,101
54,2,1,2,77
55,0,1,2,58
56,2,1,2,123
57,9,0,2,81
58,6,0,2,72
59,6,0,2,138
60,7,0,2,78
61,8,0,2,140
62,7,0,2,55
63,8,1,2,98
64,9,1,2,121
65,6,1,2,118
66,6,1,2,102
67,7,1,2,114
68,12,0,2,136
69,10,0,2,81
70,12,0,2,60
71,12,0,2,122
72,11,0,2,90
73,14,0,2,124
74,12,0,2,109
75,10,0,2,124
76,10,0,2,73
77,14,0,2,86
78,13,1,2,95
79,13,1,2,127
80,14,1,2,59
81,14,1,2,62
82,11,1,2,110
83,14,1,2,112
84,11,1,2,111
85,11,1,2,79
86,13,1,2,71
87,13,1,2,135
88,12,1,2,103
89,10,1,2,137
90,11,1,2,63
91,10,1,2,129
92,14,1,2,91
93,11,1,2,82
94,11,1,2,107
95,19,0,2,80
96,16,0,2,138
97,19,0,2,112
98,16,0,2,54
99,19,0,2,128
100,17,1,2,77
101,17,1,2,94
102,18,1,2,74
103,16,1,2,83
104,19,1,2,82
105,17,1,2,133
106,18,1,2,65
107,15,1,2,89
108,16,1,2,106
109,23,0,2,102
110,21,1,2,117
111,28,0,2,75
112,25,0,2,53
113,26,0,2,131
114,27,0,2,125
115,28,1,2,123
116,26,1,2,114
117,26,1,2,53
118,31,0,2,84
119,30,0,2,51
120,31,0,2,106
121,30,0,2,72
122,33,0,2,108
123,33,1,2,70
124,30,1,2,134
125,34,1,2,51
126,35,0,2,73
127,35,0,2,61
128,36,1,2,76
129,36,1,2,89
130,38,1,2,68
131,35,1,2,132
132,39,1,2,126
133,41,0,2,75
134,42,0,2,118
135,43,0,2,97
136,44,1,2,99
137,43,1,2,79
138,41,1,2,136
139,41,1,2,100
140,41,1,2,92
141,42,1,2,98
142,40,1,2,121
143,42,1,2,108
144,40,1,2,54
145,40,1,2,67
146,40,1,2,76
147,45,0,2,58
148,46,0,2,115
149,47,0,2,52
150,47,0,2,139
151,45,0,2,90
152,48,0,2,85
153,48,0,2,110
154,49,0,2,119
155,47,0,2,139
156,49,0,2,105
157,47,0,2,63
158,45,0,2,117
159,49,0,2,133
160,46,0,2,86
161,48,0,2,99
162,47,0,2,78
163,47,0,2,115
164,48,0,2,56
165,49,0,2,60
166,46,0,2,96
167,48,0,2,107
168,49,0,2,135
169,47,0,2,66
170,49,0,2,88
171,49,0,2,140
172,48,0,2,59
173,45,0,2,61
174,46,0,2,120
175,46,1,2,70
176,46,1,2,83
177,49,1,2,111
178,48,1,2,85
179,48,1,2,62
180,48,1,2,91
181,47,1,2,104
182,48,1,2,74
183,50,0,2,116
184,50,0,2,55
185,50,0,2,69
186,52,0,2,128
187,53,0,2,93
188,50,0,2,130
189,50,1,2,88
190,52,1,2,105
191,50,1,2,97
192,54,1,2,125
193,54,1,2,66
194,52,1,2,67
195,51,1,2,93
196,50,1,2,57
197,50,1,2,126
198,51,1,2,131
199,54,1,2,127
200,54,1,2,69
201,57,0,2,113
202,56,0,2,64
203,56,0,2,56
204,58,0,2,122
205,59,0,2,84
206,58,1,2,57
207,57,1,2,52
208,56,1,2,71
209,56,1,2,103
210,58,1,2,96
211,56,1,2,80
212,63,0,2,95
213,64,0,2,92
214,60,1,2,65
215,63,1,2,100
216,60,1,2,94
217,64,1,2,68
218,68,0,2,87
219,67,0,2,109
220,66,0,2,132
221,67,1,2,130
222,65,1,2,104
223,68,1,2,113
224,74,0,2,134
225,72,1,2,137
226,71,1,2,116
227,75,0,2,87
228,77,1,2,119
229,80,0,2,120
230,84,1,2,64
231,85,0,2,0
232,3,0,3,222
233,2,0,3,169
234,4,1,3,148
235,4,1,3,179
236,2,1,3,246
237,4,1,3,216
238,4,1,3,198
239,1,1,3,188
240,9,0,3,155
241,5,0,3,204
242,8,0,3,144
243,5,0,3,203
244,5,0,3,167
245,5,0,3,193
246,5,0,3,183
247,5,0,3,182
248,9,0,3,235
249,5,0,3,207
250,7,0,3,211
251,6,0,3,211
252,8,0,3,246
253,9,0,3,206
254,7,0,3,223
255,9,0,3,186
256,8,0,3,219
257,5,0,3,205
258,5,0,3,225
259,9,0,3,145
260,8,0,3,194
261,6,0,3,166
262,7,0,3,178
263,5,1,3,144
264,9,1,3,191
265,8,1,3,242
266,8,1,3,163
267,8,1,3,217
268,5,1,3,202
269,9,1,3,192
270,5,1,3,190
271,6,1,3,244
272,6,1,3,178
273,6,1,3,240
274,11,0,3,210
275,13,0,3,154
276,12,0,3,221
277,13,0,3,154
278,12,0,3,180
279,11,0,3,183
280,12,0,3,236
281,12,0,3,214
282,11,0,3,208
283,11,0,3,244
284,13,0,3,142
285,12,1,3,227
286,10,1,3,183
287,13,1,3,159
288,14,1,3,217
289,10,1,3,166
290,10,1,3,169
291,14,1,3,233
292,14,1,3,146
293,14,1,3,209
294,11,1,3,174
295,14,1,3,162
296,14,1,3,201
297,10,1,3,232
298,13,1,3,193
299,11,1,3,187
300,11,1,3,221
301,12,1,3,168
302,14,1,3,241
303,17,0,3,185
304,19,0,3,155
305,17,0,3,185
306,15,0,3,206
307,17,0,3,173
308,18,0,3,164
309,16,0,3,146
310,18,0,3,197
311,15,0,3,187
312,17,0,3,223
313,17,1,3,143
314,16,1,3,210
315,19,1,3,201
316,15,1,3,169
317,16,1,3,178
318,19,1,3,182
319,18,1,3,243
320,17,1,3,239
321,19,1,3,157
322,18,1,3,142
323,18,1,3,224
324,18,1,3,156
325,24,0,3,192
326,21,0,3,239
327,24,0,3,165
328,21,0,3,160
329,20,1,3,141
330,22,1,3,191
331,20,1,3,229
332,23,1,3,245
333,26,0,3,243
334,25,0,3,215
335,29,0,3,185
336,25,0,3,218
337,27,1,3,245
338,29,1,3,232
339,26,1,3,160
340,25,1,3,234
341,25,1,3,189
342,28,1,3,213
343,28,1,3,211
344,29,1,3,164
345,34,0,3,163
346,32,0,3,230
347,33,0,3,222
348,30,0,3,233
349,30,0,3,184
350,34,0,3,151
351,33,1,3,206
352,31,1,3,145
353,32,1,3,245
354,34,1,3,153
355,36,0,3,172
356,39,0,3,188
357,35,0,3,241
358,36,0,3,229
359,39,0,3,174
360,37,0,3,173
361,36,0,3,158
362,37,0,3,161
363,38,0,3,222
364,36,0,3,199
365,36,1,3,215
366,38,1,3,152
367,36,1,3,203
368,35,1,3,246
369,38,1,3,156
370,38,1,3,175
371,39,1,3,196
372,38,1,3,181
373,35,1,3,213
374,38,1,3,215
375,38,1,3,198
376,35,1,3,203
377,35,1,3,188
378,37,1,3,218
379,35,1,3,223
380,38,1,3,170
381,43,0,3,197
382,41,0,3,186
383,44,0,3,159
384,42,0,3,195
385,41,0,3,225
386,42,0,3,209
387,43,0,3,193
388,44,0,3,196
389,41,0,3,181
390,44,0,3,156
391,40,0,3,158
392,41,0,3,202
393,40,0,3,151
394,42,0,3,177
395,41,0,3,181
396,42,0,3,226
397,40,0,3,143
398,41,0,3,184
399,42,1,3,182
400,43,1,3,231
401,42,1,3,167
402,44,1,3,195
403,43,1,3,242
404,43,1,3,214
405,43,1,3,220
406,41,1,3,230
407,40,1,3,243
408,42,1,3,208
409,42,1,3,154
410,44,1,3,212
411,43,1,3,194
412,41,1,3,167
413,42,1,3,244
414,44,1,3,149
415,44,1,3,179
416,43,1,3,172
417,43,1,3,161
418,43,1,3,189
419,42,1,3,149
420,41,1,3,240
421,41,1,3,141
422,42,1,3,147
423,41,1,3,202
424,43,1,3,179
425,43,1,3,155
426,43,1,3,146
427,41,1,3,216
428,42,1,3,224
429,41,1,3,144
430,49,0,3,234
431,47,0,3,227
432,48,0,3,198
433,46,0,3,177
434,49,0,3,192
435,49,0,3,187
436,48,0,3,186
437,48,0,3,148
438,46,0,3,152
439,49,0,3,200
440,49,0,3,176
441,49,0,3,189
442,49,0,3,207
443,45,0,3,237
444,47,0,3,149
445,48,0,3,231
446,46,0,3,168
447,47,0,3,235
448,48,0,3,231
449,48,0,3,209
450,46,1,3,196
451,45,1,3,151
452,47,1,3,232
453,49,1,3,184
454,49,1,3,176
455,46,1,3,190
456,48,1,3,174
457,47,1,3,220
458,46,1,3,175
459,45,1,3,150
460,46,1,3,163
461,48,1,3,162
462,46,1,3,171
463,48,1,3,236
464,47,1,3,228
465,45,1,3,195
466,47,1,3,239
467,48,1,3,165
468,49,1,3,238
469,49,1,3,148
470,46,1,3,145
471,49,1,3,226
472,49,1,3,160
473,49,1,3,208
474,52,0,3,173
475,54,0,3,147
476,51,0,3,180
477,52,0,3,158
478,52,0,3,237
479,50,0,3,201
480,53,0,3,230
481,51,0,3,210
482,53,0,3,150
483,53,0,3,153
484,51,0,3,204
485,53,0,3,141
486,52,0,3,157
487,51,0,3,176
488,54,0,3,162
489,51,0,3,147
490,54,1,3,197
491,53,1,3,161
492,51,1,3,175
493,52,1,3,212
494,54,1,3,228
495,53,1,3,170
496,51,1,3,199
497,54,1,3,171
498,53,1,3,225
499,52,1,3,236
500,51,1,3,166
501,59,0,3,234
502,55,0,3,143
503,56,0,3,235
504,58,0,3,218
505,59,0,3,205
506,56,0,3,171
507,56,0,3,172
508,55,0,3,213
509,58,0,3,164
510,55,0,3,212
511,56,1,3,221
512,57,1,3,238
513,57,1,3,200
514,58,1,3,219
515,57,1,3,216
516,58,1,3,241
517,56,1,3,194
518,57,1,3,191
519,59,1,3,214
520,58,1,3,142
521,56,1,3,227
522,56,1,3,242
523,61,0,3,220
524,63,0,3,207
525,60,0,3,180
526,64,0,3,168
527,61,1,3,159
528,63,1,3,204
529,60,1,3,150
530,64,1,3,153
531,69,0,3,205
532,67,0,3,165
533,65,0,3,224
534,67,0,3,199
535,68,1,3,226
536,66,1,3,238
537,73,0,3,228
538,71,0,3,237
539,70,0,3,170
540,73,1,3,240
541,74,1,3,233
542,70,1,3,157
543,74,1,3,219
544,79,0,3,177
545,79,1,3,190
546,79,1,3,217
547,77,1,3,152
548,78,1,3,200
549,80,0,3,229
550,81,1,3,0
551,86,0,3,0
552,1,0,4,318
553,1,0,4,271
554,3,0,4,279
555,1,1,4,317
556,2,1,4,293
557,0,1,4,291
558,2,1,4,321
559,1,1,4,272
560,6,0,4,330
561,5,0,4,264
562,7,0,4,315
563,6,0,4,296
564,5,0,4,253
565,7,0,4,287
566,6,0,4,285
567,6,0,4,277
568,7,0,4,273
569,9,0,4,313
570,6,0,4,258
571,5,0,4,325
572,9,0,4,290
573,6,0,4,327
574,5,1,4,288
575,9,1,4,280
576,9,1,4,331
577,8,1,4,262
578,6,1,4,342
579,8,1,4,270
580,9,1,4,281
581,9,1,4,301
582,5,1,4,266
583,9,1,4,306
584,7,1,4,331
585,5,1,4,316
586,9,1,4,337
587,14,0,4,310
588,10,0,4,272
589,13,0,4,326
590,10,0,4,333
591,13,0,4,262
592,10,0,4,256
593,11,0,4,282
594,13,0,4,264
595,12,0,4,303
596,13,0,4,314
597,11,0,4,259
598,14,0,4,278
599,11,0,4,269
600,11,0,4,295
601,12,0,4,263
602,12,0,4,311
603,14,1,4,323
604,13,1,4,248
605,13,1,4,324
606,10,1,4,302
607,10,1,4,304
608,11,1,4,250
609,11,1,4,301
610,11,1,4,261
611,10,1,4,323
612,11,1,4,329
613,12,1,4,308
