# age,gender,hhType,hhId,Node
18,1,0,0,0
18,1,0,0,0
18,1,0,0,0
18,1,0,0,0
18,1,0,0,0
18,1,0,0,0
18,1,0,0,0
18,1,0,0,0
18,1,0,0,0
18,1,0,0,0
18,1,0,0,1
18,1,0,0,1
18,1,0,0,1
18,1,0,0,1
18,1,0,0,1
18,1,0,0,1
18,1,0,0,1
18,1,0,0,1
18,1,0,0,1
18,1,0,0,1
18,1,0,0,2
18,1,0,0,2
18,1,0,0,2
18,1,0,0,2
18,1,0,0,2
18,1,0,0,2
18,1,0,0,2
18,1,0,0,2
18,1,0,0,2
18,1,0,0,2
18,1,0,0,3
18,1,0,0,3
18,1,0,0,3
18,1,0,0,3
18,1,0,0,3
18,1,0,0,3
18,1,0,0,3
18,1,0,0,3
18,1,0,0,3
18,1,0,0,3
18,1,0,0,4
18,1,0,0,4
18,1,0,0,4
18,1,0,0,4
18,1,0,0,4
18,1,0,0,4
18,1,0,0,4
18,1,0,0,4
18,1,0,0,4
18,1,0,0,4
18,1,0,0,5
18,1,0,0,5
18,1,0,0,5
18,1,0,0,5
18,1,0,0,5
18,1,0,0,5
18,1,0,0,5
18,1,0,0,5
18,1,0,0,5
18,1,0,0,5
18,1,0,0,6
18,1,0,0,6
18,1,0,0,6
18,1,0,0,6
18,1,0,0,6
18,1,0,0,6
18,1,0,0,6
18,1,0,0,6
18,1,0,0,6
18,1,0,0,6
18,1,0,0,7
18,1,0,0,7
18,1,0,0,7
18,1,0,0,7
18,1,0,0,7
18,1,0,0,7
18,1,0,0,7
18,1,0,0,7
18,1,0,0,7
18,1,0,0,7
18,1,0,0,8
18,1,0,0,8
18,1,0,0,8
18,1,0,0,8
18,1,0,0,8
18,1,0,0,8
18,1,0,0,8
18,1,0,0,8
18,1,0,0,8
18,1,0,0,8
18,1,0,0,9
18,1,0,0,9
18,1,0,0,9
18,1,0,0,9
18,1,0,0,9
18,1,0,0,9
18,1,0,0,9
18,1,0,0,9
18,1,0,0,9
18,1,0,0,9
18,1,0,0,10
18,1,0,0,10
18,1,0,0,10
18,1,0,0,10
18,1,0,0,10
18,1,0,0,10
18,1,0,0,10
18,1,0,0,10
18,1,0,0,10
18,1,0,0,10
18,1,0,0,11
18,1,0,0,11
18,1,0,0,11
18,1,0,0,11
18,1,0,0,11
18,1,0,0,11
