# ID,HH_type,SubMeshCode, building_code
0,1,117,64
1,1,117,302
2,1,117,290
3,1,117,38
4,1,117,192
5,1,117,253
6,1,117,255
7,1,117,364
8,1,117,218
9,1,117,190
10,1,117,29
11,1,117,362
12,1,117,82
13,1,117,393
14,1,117,231
15,1,117,369
16,1,117,269
17,1,117,62
18,1,117,161
19,1,117,133
20,1,117,350
21,1,117,390
22,1,117,200
23,1,117,247
24,1,117,210
25,1,117,100
26,1,117,177
27,1,117,388
28,1,117,81
29,1,117,297
30,1,117,372
31,1,117,187
32,1,117,375
33,1,117,383
34,1,117,383
35,1,117,265
36,1,117,139
37,1,117,346
38,1,117,71
39,1,117,166
40,1,117,55
41,1,117,309
42,1,117,235
43,1,117,278
44,1,117,336
45,1,117,130
46,1,117,18
47,1,117,260
48,1,117,356
49,1,117,311
50,1,117,38
51,1,117,358
52,1,117,51
53,1,117,84
54,1,117,127
55,1,117,328
56,1,117,367
57,1,117,83
58,1,117,256
59,1,117,405
60,1,117,76
61,1,117,300
62,1,117,322
63,1,117,360
64,1,117,31
65,1,117,72
66,1,117,316
67,1,117,302
68,1,117,85
69,1,117,131
70,1,117,150
71,1,117,57
72,1,117,143
73,1,117,92
74,1,117,41
75,1,117,110
76,1,117,277
77,1,117,113
78,1,117,268
79,1,117,54
80,1,117,96
81,1,117,326
82,1,117,201
83,1,117,168
84,1,117,185
85,1,117,188
86,1,117,86
87,1,117,176
88,1,117,216
89,1,117,91
90,1,117,99
91,1,117,228
92,1,117,95
93,1,117,382
94,1,117,364
95,1,117,354
96,1,117,406
97,1,117,106
98,1,117,184
99,1,117,337
100,1,117,312
101,1,117,324
102,1,117,311
103,1,117,394
104,1,117,371
105,1,117,389
106,1,117,20
107,1,117,290
108,1,117,193
109,1,117,377
110,1,117,288
111,1,117,98
112,1,117,70
113,1,117,156
114,1,117,370
115,1,117,356
116,1,117,335
117,1,117,280
118,1,117,164
119,1,117,380
120,1,117,173
121,1,117,258
122,1,117,308
123,1,117,102
124,1,117,49
125,1,117,53
126,1,117,355
127,1,117,163
128,1,117,241
129,1,117,281
130,1,117,94
131,1,117,79
132,1,117,56
133,1,117,319
134,1,117,357
135,1,117,86
136,1,117,155
137,1,117,159
138,1,117,304
139,1,117,255
140,1,117,378
141,1,117,30
142,1,117,351
143,1,117,315
144,1,117,122
145,1,117,19
146,1,117,170
147,1,117,78
148,1,117,246
149,1,117,206
150,1,117,373
151,1,117,97
152,1,117,53
153,1,117,20
154,1,117,261
155,1,117,192
156,1,117,292
157,1,117,144
158,1,117,298
159,1,117,319
160,1,117,22
161,1,117,271
162,1,117,73
163,1,117,248
164,1,117,128
165,1,117,305
166,1,117,126
167,1,117,117
168,1,117,88
169,1,117,349
170,1,117,69
171,1,117,311
172,1,117,289
173,1,117,239
174,1,117,266
175,1,117,179
176,1,117,245
177,1,117,7
178,1,117,286
179,1,117,4
180,1,117,312
181,1,117,10
182,1,117,397
183,1,117,209
184,1,117,321
185,1,117,317
186,2,117,60
187,2,117,325
188,2,117,48
189,2,117,251
190,2,117,320
191,2,117,283
192,2,117,33
193,2,117,226
194,2,117,135
195,2,117,252
196,2,117,130
197,2,117,203
198,2,117,234
199,2,117,118
200,2,117,186
201,2,117,27
202,2,117,406
203,2,117,282
204,2,117,337
205,2,117,34
206,2,117,9
207,2,117,404
208,2,117,107
209,2,117,214
210,2,117,12
211,2,117,224
212,2,117,157
213,2,117,65
214,2,117,142
215,2,117,354
216,2,117,222
217,2,117,374
218,2,117,28
219,2,117,175
220,2,117,125
221,2,117,87
222,2,117,387
223,2,117,345
224,2,117,219
225,2,117,293
226,2,117,1
227,2,117,39
228,2,117,152
229,2,117,194
230,2,117,124
231,2,117,238
232,2,117,320
233,2,117,399
234,2,117,149
235,2,117,341
236,2,117,93
237,2,117,274
238,2,117,51
239,2,117,195
240,2,117,183
241,2,117,58
242,2,117,40
243,2,117,396
244,2,117,340
245,2,117,103
246,2,117,195
247,2,117,323
248,2,117,79
249,2,117,246
250,2,117,65
251,2,117,165
252,2,117,217
253,2,117,395
254,2,117,327
255,2,117,37
256,2,117,273
257,2,117,286
258,2,117,202
259,2,117,174
260,2,117,233
261,2,117,2
262,2,117,233
263,2,117,259
264,2,117,404
265,2,117,242
266,2,117,67
267,2,117,148
268,2,117,180
269,2,117,25
270,2,117,121
271,2,117,270
272,2,117,207
273,2,117,270
274,2,117,43
275,2,117,26
276,2,117,301
277,2,117,123
278,2,117,11
279,2,117,250
280,2,117,296
281,2,117,379
282,2,117,315
283,2,117,285
284,2,117,171
285,2,117,193
286,2,117,392
287,2,117,189
288,2,117,5
289,2,117,7
290,2,117,204
291,2,117,236
292,2,117,385
293,2,117,153
294,2,117,111
295,2,117,101
296,2,117,345
297,2,117,249
298,2,117,223
299,2,117,30
300,2,117,396
301,2,117,299
302,2,117,289
303,2,117,257
304,2,117,311
305,2,117,162
306,2,117,358
307,2,117,101
308,2,117,36
309,2,117,264
310,2,117,361
311,2,117,229
312,2,117,50
313,2,117,172
314,2,117,210
315,2,117,339
316,2,117,44
317,2,117,334
318,2,117,167
319,2,117,376
320,2,117,402
321,2,117,405
322,2,117,366
323,2,117,220
324,2,117,353
325,2,117,197
326,2,117,21
327,2,117,90
328,2,117,342
329,2,117,360
330,2,117,237
331,2,117,136
332,2,117,167
333,2,117,301
334,2,117,68
335,2,117,172
336,2,117,17
337,2,117,46
338,2,117,110
339,2,117,59
340,2,117,77
341,2,117,213
342,2,117,343
343,2,117,310
344,2,117,189
345,2,117,403
346,2,117,196
347,2,117,199
348,2,117,24
349,3,117,178
350,3,117,200
351,3,117,198
352,3,117,104
353,3,117,40
354,3,117,331
355,3,117,313
356,3,117,350
357,3,117,146
358,3,117,80
359,3,117,240
360,3,117,181
361,3,117,363
362,3,117,45
363,3,117,333
364,3,117,258
365,3,117,267
366,3,117,6
367,3,117,119
368,3,117,318
369,3,117,175
370,3,117,327
371,3,117,14
372,3,117,398
373,3,117,61
374,3,117,3
375,3,117,245
376,3,117,359
377,3,117,105
378,3,117,52
379,3,117,138
380,3,117,16
381,3,117,147
382,3,117,133
383,3,117,207
384,3,117,160
385,3,117,291
386,3,117,287
387,3,117,66
388,3,117,398
389,3,117,63
390,3,117,150
391,3,117,141
392,3,117,276
393,3,117,348
394,3,117,212
395,3,117,108
396,3,117,263
397,3,117,237
398,3,117,23
399,3,117,232
400,3,117,32
401,3,117,143
402,3,117,352
403,3,117,244
404,3,117,116
405,3,117,163
406,3,117,223
407,3,117,247
408,3,117,324
409,3,117,13
410,3,117,318
411,3,117,254
412,3,117,213
413,3,117,227
414,3,117,119
415,3,117,120
416,3,117,46
417,3,117,384
418,3,117,191
419,3,117,42
420,4,117,158
421,4,117,129
422,4,117,371
423,4,117,262
424,4,117,122
425,4,117,279
426,4,117,23
427,4,117,109
428,4,117,349
429,4,117,307
430,4,117,332
431,4,117,112
432,4,117,187
433,4,117,132
434,4,117,294
435,4,117,205
436,4,117,215
437,4,117,75
438,4,117,243
439,4,117,182
440,4,117,272
441,4,117,211
442,4,117,314
443,4,117,295
444,4,117,115
445,4,117,284
446,4,117,145
447,4,117,96
448,4,117,275
449,4,117,169
450,4,117,386
451,4,117,8
452,4,117,368
453,4,117,50
454,4,117,221
455,4,117,330
456,4,117,391
457,4,117,381
458,4,117,22
459,4,117,355
460,4,117,89
461,4,117,154
462,5,117,33
463,5,117,347
464,5,117,306
465,5,117,47
466,5,117,316
467,5,117,15
468,5,117,74
469,5,117,208
470,5,117,338
471,5,117,400
472,5,117,225
473,5,117,401
474,5,117,118
475,5,117,35
476,5,117,16
477,5,117,90
478,6,117,303
479,6,117,137
480,6,117,114
481,6,117,27
482,6,117,230
483,6,117,151
484,7,117,134
485,7,117,365
486,7,117,329
487,7,117,344
488,7,117,140
