# ID,HH_type,SubMeshCode, building_code
0,1,100,80
1,1,100,28
2,1,100,118
3,1,100,125
4,1,100,59
5,1,100,133
6,1,100,46
7,1,100,13
8,1,100,105
9,1,100,115
10,1,100,113
11,1,100,140
12,1,100,138
13,1,100,34
14,1,100,126
15,1,100,88
16,1,100,132
17,1,100,122
18,1,100,9
19,1,100,36
20,1,100,26
21,1,100,13
22,1,100,108
23,1,100,115
24,1,100,76
25,1,100,21
26,1,100,40
27,1,100,71
28,1,100,8
29,1,100,74
30,1,100,110
31,1,100,94
32,1,100,58
33,1,100,110
34,1,100,88
35,1,100,55
36,1,100,82
37,1,100,75
38,1,100,15
39,1,100,23
40,1,100,112
41,1,100,78
42,1,100,83
43,1,100,147
44,1,100,101
45,1,100,108
46,1,100,23
47,1,100,84
48,1,100,110
49,1,100,44
50,1,100,1
51,1,100,108
52,1,100,131
53,1,100,45
54,1,100,103
55,1,100,108
56,1,100,147
57,1,100,38
58,1,100,63
59,1,100,1
60,1,100,110
61,1,100,50
62,1,100,129
63,1,100,58
64,1,100,60
65,1,100,22
66,1,100,122
67,1,100,90
68,1,100,15
69,1,100,117
70,1,100,32
71,1,100,100
72,1,100,134
73,1,100,30
74,1,100,53
75,1,100,113
76,1,100,120
77,1,100,39
78,1,100,104
79,1,100,138
80,1,100,52
81,1,100,11
82,1,100,56
83,1,100,120
84,1,100,28
85,1,100,102
86,1,100,87
87,1,100,86
88,1,100,6
89,1,100,71
90,1,100,92
91,1,100,141
92,1,100,89
93,1,100,79
94,1,100,115
95,1,100,12
96,1,100,137
97,1,100,102
98,1,100,108
99,1,100,42
100,1,100,135
101,1,100,75
102,1,100,70
103,1,100,35
104,1,100,102
105,1,100,65
106,1,100,14
107,1,100,102
108,1,100,126
109,1,100,1
110,1,100,48
111,1,100,59
112,1,100,17
113,1,100,5
114,1,100,102
115,1,100,137
116,1,100,117
117,1,100,119
118,1,100,108
119,1,100,145
120,1,100,63
121,2,100,32
122,2,100,41
123,2,100,15
124,2,100,39
125,2,100,18
126,2,100,44
127,2,100,100
128,2,100,72
129,2,100,82
130,2,100,102
131,2,100,108
132,2,100,31
133,2,100,43
134,2,100,31
135,2,100,3
136,2,100,18
137,2,100,47
138,2,100,91
139,2,100,36
140,2,100,104
141,2,100,97
142,2,100,35
143,2,100,68
144,2,100,111
145,2,100,93
146,2,100,8
147,2,100,131
148,2,100,70
149,2,100,2
150,2,100,4
151,2,100,79
152,2,100,17
153,2,100,3
154,2,100,125
155,2,100,124
156,2,100,112
157,2,100,144
158,2,100,130
159,2,100,111
160,2,100,25
161,2,100,95
162,2,100,29
163,2,100,56
164,2,100,54
165,2,100,150
166,2,100,53
167,2,100,114
168,2,100,35
169,2,100,118
170,2,100,96
171,2,100,136
172,2,100,25
173,2,100,127
174,2,100,8
175,2,100,116
176,2,100,100
177,2,100,95
178,2,100,7
179,2,100,6
180,2,100,27
181,2,100,146
182,2,100,121
183,2,100,62
184,2,100,101
185,2,100,138
186,2,100,12
187,2,100,73
188,3,100,66
189,3,100,69
190,3,100,57
191,3,100,114
192,3,100,76
193,3,100,51
194,3,100,84
195,3,100,148
196,3,100,76
197,3,100,20
198,3,100,103
199,3,100,74
200,3,100,83
201,3,100,149
202,3,100,14
203,3,100,51
204,3,100,102
205,3,100,61
206,3,100,113
207,3,100,85
208,3,100,102
209,3,100,19
210,3,100,123
211,3,100,33
212,3,100,121
213,3,100,48
214,3,100,92
215,3,100,10
216,3,100,49
217,3,100,128
218,4,100,47
219,4,100,24
220,4,100,99
221,4,100,16
222,4,100,148
223,4,100,134
224,4,100,78
225,4,100,90
226,4,100,69
227,4,100,107
228,4,100,142
229,4,100,37
230,4,100,31
231,4,100,87
232,4,100,106
233,4,100,113
234,4,100,16
235,4,100,97
236,4,100,102
237,4,100,64
238,4,100,98
239,4,100,72
240,4,100,91
241,4,100,124
242,4,100,150
243,4,100,62
244,4,100,4
245,4,100,79
246,4,100,139
247,4,100,98
248,5,100,67
249,5,100,4
250,5,100,113
251,5,100,143
252,5,100,93
253,5,100,74
254,5,100,81
255,5,100,35
256,7,100,77
257,7,100,109
258,7,100,80
