# ID,HH_type,SubMeshCode, building_code
0,1,134,68
1,1,134,59
2,1,134,101
3,1,134,95
4,1,134,85
5,1,134,99
6,1,134,99
7,1,134,83
8,1,134,61
9,1,134,96
10,1,134,13
11,1,134,3
12,1,134,70
13,1,134,20
14,1,134,63
15,1,134,64
16,1,134,45
17,1,134,27
18,1,134,58
19,1,134,11
20,1,134,55
21,1,134,79
22,1,134,75
23,1,134,32
24,1,134,61
25,1,134,90
26,1,134,27
27,1,134,81
28,1,134,45
29,1,134,78
30,1,134,49
31,1,134,78
32,1,134,36
33,1,134,45
34,1,134,24
35,1,134,80
36,1,134,12
37,1,134,39
38,1,134,47
39,1,134,100
40,1,134,27
41,1,134,101
42,1,134,73
43,1,134,74
44,1,134,62
45,1,134,42
46,1,134,24
47,1,134,38
48,1,134,62
49,1,134,8
50,1,134,22
51,1,134,93
52,1,134,84
53,1,134,90
54,1,134,4
55,1,134,35
56,1,134,46
57,1,134,4
58,1,134,13
59,1,134,40
60,1,134,84
61,1,134,19
62,1,134,83
63,1,134,77
64,1,134,91
65,1,134,73
66,1,134,58
67,1,134,8
68,1,134,101
69,1,134,69
70,1,134,19
71,1,134,27
72,1,134,41
73,1,134,51
74,1,134,20
75,1,134,93
76,2,134,30
77,2,134,56
78,2,134,94
79,2,134,66
80,2,134,51
81,2,134,34
82,2,134,27
83,2,134,60
84,2,134,17
85,2,134,72
86,2,134,36
87,2,134,86
88,2,134,30
89,2,134,55
90,2,134,87
91,2,134,15
92,2,134,50
93,2,134,5
94,2,134,33
95,2,134,43
96,2,134,95
97,2,134,97
98,2,134,65
99,2,134,48
100,2,134,74
101,2,134,49
102,2,134,63
103,2,134,28
104,2,134,44
105,2,134,92
106,2,134,43
107,2,134,94
108,2,134,42
109,2,134,67
110,2,134,1
111,2,134,100
112,2,134,1
113,2,134,57
114,2,134,96
115,2,134,89
116,2,134,21
117,2,134,9
118,2,134,18
119,2,134,41
120,2,134,26
121,2,134,33
122,3,134,51
123,3,134,7
124,3,134,65
125,3,134,69
126,3,134,23
127,3,134,64
128,3,134,71
129,3,134,25
130,3,134,51
131,3,134,2
132,3,134,4
133,3,134,6
134,3,134,28
135,3,134,91
136,3,134,17
137,3,134,37
138,3,134,16
139,3,134,14
140,3,134,98
141,3,134,10
142,3,134,58
143,3,134,62
144,4,134,87
145,4,134,2
146,4,134,86
147,4,134,12
148,4,134,18
149,4,134,31
150,4,134,54
151,4,134,90
152,4,134,96
153,4,134,81
154,4,134,14
155,4,134,2
156,4,134,53
157,4,134,82
158,4,134,94
159,4,134,52
160,4,134,62
161,4,134,62
162,5,134,59
163,5,134,88
164,5,134,41
165,5,134,66
166,5,134,29
167,6,134,76
168,6,134,10
169,6,134,69
