# ID,HH_type,SubMeshCode, building_code
0,1,83,31
1,1,83,23
2,1,83,60
3,1,83,10
4,1,83,59
5,1,83,31
6,1,83,52
7,1,83,53
8,1,83,34
9,1,83,47
10,1,83,3
11,1,83,24
12,1,83,59
13,1,83,54
14,1,83,66
15,1,83,11
16,1,83,64
17,1,83,52
18,1,83,71
19,1,83,1
20,1,83,18
21,1,83,31
22,1,83,43
23,1,83,42
24,1,83,31
25,1,83,75
26,1,83,2
27,1,83,27
28,1,83,7
29,1,83,70
30,1,83,49
31,1,83,59
32,1,83,43
33,1,83,1
34,1,83,64
35,1,83,52
36,1,83,64
37,1,83,50
38,1,83,52
39,1,83,1
40,1,83,10
41,1,83,36
42,1,83,59
43,1,83,10
44,1,83,28
45,1,83,41
46,1,83,53
47,1,83,34
48,1,83,64
49,1,83,51
50,1,83,60
51,1,83,10
52,1,83,19
53,1,83,19
54,1,83,64
55,1,83,39
56,1,83,5
57,1,83,68
58,1,83,52
59,1,83,7
60,1,83,52
61,1,83,75
62,1,83,9
63,1,83,62
64,1,83,29
65,1,83,44
66,1,83,74
67,1,83,8
68,1,83,69
69,1,83,26
70,1,83,10
71,1,83,21
72,1,83,67
73,1,83,1
74,1,83,3
75,1,83,38
76,1,83,43
77,1,83,46
78,1,83,41
79,1,83,14
80,1,83,25
81,1,83,52
82,1,83,11
83,1,83,4
84,1,83,38
85,1,83,39
86,1,83,60
87,1,83,42
88,1,83,27
89,1,83,56
90,1,83,67
91,1,83,46
92,1,83,52
93,1,83,60
94,1,83,39
95,1,83,9
96,1,83,11
97,1,83,11
98,1,83,76
99,1,83,23
100,1,83,42
101,1,83,52
102,1,83,43
103,1,83,61
104,1,83,7
105,1,83,12
106,1,83,59
107,1,83,52
108,1,83,65
109,1,83,40
110,1,83,71
111,1,83,69
112,1,83,52
113,1,83,37
114,1,83,64
115,1,83,52
116,1,83,75
117,1,83,15
118,1,83,19
119,1,83,30
120,1,83,43
121,1,83,39
122,1,83,55
123,1,83,74
124,1,83,33
125,1,83,22
126,1,83,52
127,1,83,25
128,1,83,10
129,1,83,56
130,1,83,9
131,1,83,33
132,1,83,54
133,1,83,40
134,1,83,7
135,1,83,11
136,1,83,10
137,1,83,56
138,1,83,62
139,2,83,52
140,2,83,43
141,2,83,76
142,2,83,62
143,2,83,10
144,2,83,39
145,2,83,52
146,2,83,64
147,2,83,45
148,2,83,19
149,2,83,30
150,2,83,67
151,2,83,66
152,2,83,52
153,2,83,52
154,2,83,41
155,2,83,19
156,2,83,13
157,2,83,1
158,2,83,49
159,2,83,59
160,2,83,76
161,2,83,43
162,2,83,6
163,2,83,31
164,2,83,48
165,2,83,35
166,2,83,11
167,2,83,21
168,2,83,56
169,2,83,19
170,2,83,11
171,2,83,43
172,2,83,16
173,2,83,66
174,2,83,57
175,2,83,31
176,2,83,1
177,2,83,43
178,2,83,52
179,2,83,70
180,2,83,52
181,2,83,10
182,2,83,59
183,2,83,64
184,2,83,9
185,2,83,19
186,2,83,57
187,3,83,52
188,3,83,39
189,3,83,2
190,3,83,19
191,3,83,52
192,3,83,33
193,3,83,7
194,3,83,1
195,3,83,7
196,3,83,33
197,3,83,52
198,3,83,26
199,3,83,63
200,3,83,52
201,3,83,43
202,3,83,31
203,3,83,13
204,3,83,61
205,3,83,65
206,3,83,60
207,3,83,43
208,3,83,52
209,3,83,18
210,3,83,11
211,3,83,10
212,3,83,58
213,3,83,11
214,4,83,19
215,4,83,5
216,4,83,23
217,4,83,55
218,4,83,28
219,4,83,17
220,4,83,14
221,4,83,52
222,4,83,2
223,4,83,60
224,4,83,36
225,4,83,72
226,4,83,73
227,4,83,5
228,4,83,59
229,4,83,3
230,4,83,10
231,4,83,4
232,4,83,48
233,4,83,11
234,5,83,32
235,5,83,8
236,5,83,47
237,5,83,50
238,5,83,45
239,5,83,20
240,5,83,74
