# ID,HH_type,SubMeshCode, building_code
0,1,93,231
1,1,93,169
2,1,93,209
3,1,93,184
4,1,93,65
5,1,93,187
6,1,93,161
7,1,93,209
8,1,93,170
9,1,93,118
10,1,93,47
11,1,93,73
12,1,93,209
13,1,93,169
14,1,93,63
15,1,93,130
16,1,93,258
17,1,93,18
18,1,93,147
19,1,93,38
20,1,93,19
21,1,93,209
22,1,93,174
23,1,93,204
24,1,93,113
25,1,93,100
26,1,93,203
27,1,93,209
28,1,93,110
29,1,93,209
30,1,93,251
31,1,93,209
32,1,93,243
33,1,93,7
34,1,93,186
35,1,93,230
36,1,93,252
37,1,93,108
38,1,93,71
39,1,93,177
40,1,93,100
41,1,93,6
42,1,93,242
43,1,93,231
44,1,93,31
45,1,93,258
46,1,93,258
47,1,93,10
48,1,93,122
49,1,93,185
50,1,93,236
51,1,93,118
52,1,93,239
53,1,93,58
54,1,93,211
55,1,93,111
56,1,93,231
57,1,93,78
58,1,93,17
59,1,93,188
60,1,93,209
61,1,93,207
62,1,93,74
63,1,93,209
64,1,93,258
65,1,93,97
66,1,93,197
67,1,93,25
68,1,93,209
69,1,93,209
70,1,93,209
71,1,93,96
72,1,93,137
73,1,93,162
74,1,93,104
75,1,93,23
76,1,93,169
77,1,93,174
78,1,93,66
79,1,93,209
80,1,93,119
81,1,93,209
82,1,93,209
83,1,93,244
84,1,93,125
85,1,93,59
86,1,93,14
87,1,93,209
88,1,93,163
89,1,93,172
90,1,93,232
91,1,93,205
92,1,93,209
93,1,93,157
94,1,93,209
95,1,93,131
96,1,93,231
97,1,93,134
98,1,93,225
99,1,93,72
100,1,93,228
101,1,93,119
102,1,93,158
103,1,93,67
104,1,93,210
105,1,93,208
106,1,93,194
107,1,93,142
108,1,93,2
109,1,93,105
110,1,93,169
111,1,93,202
112,1,93,159
113,1,93,240
114,1,93,84
115,1,93,21
116,1,93,258
117,1,93,241
118,1,93,232
119,1,93,166
120,1,93,256
121,1,93,191
122,1,93,209
123,1,93,108
124,1,93,209
125,1,93,118
126,1,93,209
127,1,93,218
128,1,93,139
129,1,93,27
130,1,93,199
131,1,93,209
132,1,93,209
133,1,93,171
134,1,93,67
135,1,93,29
136,1,93,11
137,1,93,54
138,1,93,46
139,1,93,255
140,1,93,91
141,1,93,234
142,1,93,198
143,1,93,209
144,1,93,100
145,1,93,209
146,1,93,129
147,1,93,126
148,1,93,100
149,1,93,169
150,1,93,45
151,1,93,257
152,1,93,209
153,1,93,209
154,1,93,71
155,1,93,233
156,1,93,64
157,1,93,105
158,1,93,21
159,1,93,223
160,1,93,136
161,1,93,258
162,1,93,95
163,1,93,68
164,1,93,159
165,1,93,209
166,1,93,122
167,1,93,249
168,1,93,138
169,1,93,85
170,1,93,131
171,1,93,209
172,1,93,119
173,1,93,209
174,1,93,209
175,1,93,76
176,1,93,209
177,1,93,258
178,1,93,102
179,1,93,22
180,1,93,16
181,1,93,118
182,1,93,209
183,1,93,148
184,1,93,221
185,1,93,201
186,1,93,182
187,1,93,209
188,1,93,124
189,1,93,122
190,1,93,208
191,1,93,209
192,1,93,215
193,1,93,209
194,1,93,181
195,1,93,93
196,1,93,239
197,1,93,209
198,1,93,110
199,1,93,190
200,1,93,250
201,1,93,26
202,1,93,209
203,1,93,257
204,1,93,213
205,1,93,87
206,1,93,209
207,1,93,209
208,1,93,224
209,1,93,203
210,1,93,153
211,1,93,79
212,1,93,143
213,1,93,61
214,1,93,209
215,1,93,145
216,1,93,34
217,1,93,218
218,1,93,182
219,1,93,183
220,1,93,209
221,1,93,82
222,1,93,138
223,1,93,128
224,1,93,73
225,1,93,223
226,1,93,203
227,1,93,1
228,1,93,247
229,1,93,1
230,1,93,33
231,1,93,176
232,1,93,121
233,1,93,258
234,1,93,146
235,1,93,209
236,1,93,178
237,1,93,222
238,1,93,152
239,1,93,62
240,1,93,5
241,1,93,209
242,1,93,251
243,1,93,99
244,1,93,197
245,1,93,175
246,1,93,206
247,1,93,171
248,1,93,102
249,1,93,77
250,1,93,168
251,1,93,196
252,1,93,90
253,1,93,209
254,1,93,30
255,1,93,53
256,2,93,209
257,2,93,212
258,2,93,35
259,2,93,121
260,2,93,180
261,2,93,220
262,2,93,89
263,2,93,116
264,2,93,209
265,2,93,107
266,2,93,246
267,2,93,214
268,2,93,204
269,2,93,231
270,2,93,98
271,2,93,128
272,2,93,39
273,2,93,106
274,2,93,50
275,2,93,231
276,2,93,64
277,2,93,209
278,2,93,144
279,2,93,231
280,2,93,75
281,2,93,129
282,2,93,151
283,2,93,138
284,2,93,90
285,2,93,209
286,2,93,23
287,2,93,258
288,2,93,88
289,2,93,120
290,2,93,113
291,2,93,110
292,2,93,209
293,2,93,231
294,2,93,37
295,2,93,98
296,2,93,258
297,2,93,209
298,2,93,109
299,2,93,41
300,2,93,169
301,2,93,146
302,2,93,189
303,2,93,103
304,2,93,245
305,2,93,38
306,2,93,164
307,2,93,209
308,2,93,101
309,2,93,205
310,2,93,202
311,2,93,98
312,2,93,177
313,2,93,244
314,2,93,141
315,2,93,170
316,2,93,173
317,2,93,239
318,2,93,209
319,2,93,111
320,2,93,158
321,2,93,52
322,2,93,92
323,2,93,209
324,2,93,192
325,2,93,127
326,2,93,20
327,2,93,70
328,2,93,55
329,2,93,130
330,2,93,212
331,2,93,228
332,2,93,91
333,2,93,138
334,2,93,165
335,2,93,154
336,2,93,95
337,2,93,2
338,2,93,231
339,2,93,169
340,2,93,8
341,2,93,133
342,2,93,209
343,2,93,49
344,2,93,80
345,2,93,248
346,2,93,102
347,2,93,52
348,2,93,110
349,2,93,203
350,2,93,40
351,2,93,200
352,2,93,249
353,2,93,206
354,2,93,28
355,2,93,219
356,2,93,148
357,2,93,209
358,2,93,160
359,2,93,258
360,2,93,3
361,2,93,209
362,2,93,44
363,2,93,81
364,2,93,123
365,2,93,57
366,2,93,216
367,2,93,59
368,2,93,155
369,2,93,108
370,2,93,209
371,2,93,209
372,2,93,112
373,2,93,209
374,2,93,140
375,2,93,219
376,2,93,56
377,2,93,254
378,2,93,226
379,2,93,209
380,2,93,87
381,2,93,236
382,2,93,234
383,2,93,126
384,2,93,231
385,2,93,209
386,2,93,237
387,2,93,17
388,2,93,7
389,2,93,11
390,2,93,231
391,2,93,117
392,2,93,190
393,2,93,144
394,2,93,209
395,2,93,256
396,2,93,209
397,2,93,83
398,2,93,209
399,2,93,48
400,2,93,32
401,3,93,166
402,3,93,231
403,3,93,36
404,3,93,142
405,3,93,149
406,3,93,218
407,3,93,111
408,3,93,200
409,3,93,147
410,3,93,109
411,3,93,16
412,3,93,244
413,3,93,42
414,3,93,149
415,3,93,244
416,3,93,15
417,3,93,209
418,3,93,238
419,3,93,24
420,3,93,108
421,3,93,209
422,3,93,231
423,3,93,217
424,3,93,86
425,3,93,69
426,3,93,184
427,3,93,61
428,3,93,111
429,3,93,57
430,3,93,108
431,3,93,119
432,3,93,258
433,3,93,209
434,3,93,209
435,3,93,209
436,3,93,253
437,3,93,157
438,3,93,241
439,3,93,240
440,3,93,88
441,3,93,122
442,3,93,135
443,3,93,209
444,3,93,9
445,3,93,156
446,3,93,169
447,3,93,195
448,3,93,165
449,4,93,68
450,4,93,229
451,4,93,51
452,4,93,132
453,4,93,209
454,4,93,66
455,4,93,94
456,4,93,179
457,4,93,193
458,4,93,200
459,4,93,119
460,4,93,231
461,4,93,104
462,4,93,231
463,4,93,167
464,4,93,231
465,4,93,115
466,4,93,258
467,4,93,258
468,4,93,43
469,4,93,132
470,4,93,4
471,4,93,12
472,4,93,122
473,4,93,209
474,4,93,92
475,4,93,209
476,4,93,104
477,4,93,150
478,5,93,56
479,5,93,13
480,5,93,98
481,5,93,209
482,5,93,235
483,5,93,256
484,5,93,209
485,5,93,76
486,5,93,227
487,5,93,3
488,6,93,209
489,6,93,250
490,6,93,72
491,6,93,60
492,6,93,136
493,7,93,114
494,7,93,239
495,7,93,209
496,7,93,156
